Date	P	T	Q	Q_predicted_RandomForest	Q_predicted_CatBoost	nse_score_RandomForest	nse_score_Catboost
2015-04-15	0.0	13.027	0.6453	0.6444417864030467	0.7109449072474356	0.6861336845358852	0.7640098925533492
2015-04-16	0.447	14.197	0.6325	0.5482922994657307	0.634662959786663	0.6861336845358852	0.7640098925533492
2015-04-17	16.352	11.607	0.8768	0.592908946256128	0.9322999898062393	0.6861336845358852	0.7640098925533492
2015-04-18	0.0	7.888	1.6223	2.5880130641025643	1.1254155418077607	0.6861336845358852	0.7640098925533492
2015-04-19	0.0	9.188	0.7838	1.3073756424873522	0.8718511346798683	0.6861336845358852	0.7640098925533492
2015-04-20	0.0	9.782	0.6635	0.7324083843292438	0.7273631776262728	0.6861336845358852	0.7640098925533492
2015-04-21	0.0	11.634	0.5651	0.885733754683427	0.8087391886055492	0.6861336845358852	0.7640098925533492
2015-04-22	0.0	12.655	0.5323	0.7615377328307413	0.6718925812207963	0.6861336845358852	0.7640098925533492
2015-04-23	0.0	9.01	0.5049	0.6380855921490589	0.6151913853979477	0.6861336845358852	0.7640098925533492
2015-04-24	0.0	10.662	0.4903	0.7135455835798699	0.4297704858739968	0.6861336845358852	0.7640098925533492
2015-04-25	5.616	12.349	0.4648	0.5875722779262273	0.48517270730193385	0.6861336845358852	0.7640098925533492
2015-04-26	0.0	13.67	0.7109	0.8269479921194813	0.5886312775539644	0.6861336845358852	0.7640098925533492
2015-04-27	32.945	14.737	0.4994	1.7880703753871607	0.8015063837319956	0.6861336845358852	0.7640098925533492
2015-04-28	7.731	7.658	5.9842	6.103797006079026	6.409496887713861	0.6861336845358852	0.7640098925533492
2015-04-29	0.08	8.907	2.4097	3.6096310794871798	2.2166511886916336	0.6861336845358852	0.7640098925533492
2015-04-30	8.114	11.238	1.4254	1.6308810885000404	1.1458358629414005	0.6861336845358852	0.7640098925533492
2015-05-01	22.646	10.863	5.3827	2.7874287500000006	3.9600266589582827	0.6861336845358852	0.7640098925533492
2015-05-02	17.257	13.238	7.1781	6.924191904761907	8.120667885241657	0.6861336845358852	0.7640098925533492
2015-05-03	8.907	14.027	11.0315	5.5981950000000005	5.438543814917949	0.6861336845358852	0.7640098925533492
2015-05-04	0.699	16.249	7.1727	3.1879035089285717	3.7296072490936476	0.6861336845358852	0.7640098925533492
2015-05-05	7.562	16.906	3.744	1.7954528571428576	2.7440609602787447	0.6861336845358852	0.7640098925533492
2015-05-06	3.002	13.019	3.5617	2.042779716183575	2.83999991310292	0.6861336845358852	0.7640098925533492
2015-05-07	0.004	12.896	2.5938	1.6117024849637933	2.2720300860415463	0.6861336845358852	0.7640098925533492
2015-05-08	3.619	14.558	1.8465	0.9790842563368441	1.6265713731895066	0.6861336845358852	0.7640098925533492
2015-05-09	0.004	15.044	1.533	0.7812193564777725	1.1446340371522865	0.6861336845358852	0.7640098925533492
2015-05-10	0.0	14.891	1.1447	0.8518977755374255	1.1741886826531418	0.6861336845358852	0.7640098925533492
2015-05-11	0.0	16.1	0.9588	0.835622419003457	1.08948931872292	0.6861336845358852	0.7640098925533492
2015-05-12	0.0	20.116	0.8585	0.5310742416725682	0.8304634445092024	0.6861336845358852	0.7640098925533492
2015-05-13	5.701	19.684	0.8148	0.6505044631019821	0.9751104749808325	0.6861336845358852	0.7640098925533492
2015-05-14	5.4	17.393	1.4837	0.8976569995681383	1.068769640734006	0.6861336845358852	0.7640098925533492
2015-05-15	24.503	8.781	5.5504	1.8360210731665993	3.6263838155806662	0.6861336845358852	0.7640098925533492
2015-05-16	0.087	12.722	3.7404	5.032109222222223	5.509614233876388	0.6861336845358852	0.7640098925533492
2015-05-17	0.0	14.989	2.0105	3.0411030952380944	2.0594673180986742	0.6861336845358852	0.7640098925533492
2015-05-18	0.195	15.98	1.4619	1.6019342863794346	1.4693470222796587	0.6861336845358852	0.7640098925533492
2015-05-19	7.079	12.89	1.1611	0.9194118892376621	1.1892992663234447	0.6861336845358852	0.7640098925533492
2015-05-20	10.252	8.001	1.5949	1.3341218647185802	1.9294715606281585	0.6861336845358852	0.7640098925533492
2015-05-21	1.249	8.043	2.2548	2.8821612619735553	3.156251450390903	0.6861336845358852	0.7640098925533492
2015-05-22	0.008	10.551	1.5166	1.5857741684504745	1.4161630530504168	0.6861336845358852	0.7640098925533492
2015-05-23	0.001	12.121	1.1702	0.7948610451353926	0.7157492642324177	0.6861336845358852	0.7640098925533492
2015-05-24	0.001	13.848	0.9551	0.6593107918422823	0.7274011548454805	0.6861336845358852	0.7640098925533492
2015-05-25	14.438	13.264	1.1465	0.995298221170764	1.076304077681331	0.6861336845358852	0.7640098925533492
2015-05-26	8.464	10.86	4.1341	3.182125532509158	2.611371419223037	0.6861336845358852	0.7640098925533492
2015-05-27	0.0	10.544	3.6073	2.737283174690185	2.3544741616169853	0.6861336845358852	0.7640098925533492
2015-05-28	0.0	13.62	1.9486	1.7004026608391605	1.238203682844844	0.6861336845358852	0.7640098925533492
2015-05-29	1.299	17.026	1.3798	0.928149446866304	0.7881963566502237	0.6861336845358852	0.7640098925533492
2015-05-30	0.0	15.914	1.1028	0.8369248452744069	0.6764172376110065	0.6861336845358852	0.7640098925533492
2015-05-31	0.0	16.454	0.8895	0.6103283027062841	0.5491241152526404	0.6861336845358852	0.7640098925533492
2015-06-01	0.313	18.452	0.7783	0.4854196838855014	0.3508425550501706	0.6861336845358852	0.7640098925533492
2015-06-02	0.0	19.593	0.6927	0.4331674086556796	0.5010798526580882	0.6861336845358852	0.7640098925533492
2015-06-03	0.0	21.341	0.6143	0.46746317999968623	0.5784077622526359	0.6861336845358852	0.7640098925533492
2015-06-04	0.0	21.325	0.5687	0.4468970121791793	0.5493539945863125	0.6861336845358852	0.7640098925533492
2015-06-05	0.0	23.276	0.5468	0.40197739809751776	0.4814906467057428	0.6861336845358852	0.7640098925533492
2015-06-06	0.0	23.417	0.5049	0.381353678158273	0.3676071716268523	0.6861336845358852	0.7640098925533492
2015-06-07	20.068	22.347	0.463	0.6496164263582638	0.6273714997566074	0.6861336845358852	0.7640098925533492
2015-06-08	0.344	16.681	2.2584	2.6507594354246113	1.4385398819987518	0.6861336845358852	0.7640098925533492
2015-06-09	0.146	13.419	0.7838	0.8337528801930709	0.6716253343722356	0.6861336845358852	0.7640098925533492
2015-06-10	0.008	15.62	0.6398	0.7175738518358146	0.569294862285007	0.6861336845358852	0.7640098925533492
2015-06-11	0.018	18.824	0.5432	0.35920309219088586	0.47352474766737795	0.6861336845358852	0.7640098925533492
2015-06-12	0.0	20.785	0.4994	0.40724672486624247	0.4500580329556263	0.6861336845358852	0.7640098925533492
2015-06-13	7.501	20.286	0.4593	0.42464510774290043	0.5477968559624086	0.6861336845358852	0.7640098925533492
2015-06-14	77.67	18.337	9.3892	3.404391698251749	2.0218740293671216	0.6861336845358852	0.7640098925533492
2015-06-15	8.13	15.762	37.4291	13.272350000000003	9.23794600375111	0.6861336845358852	0.7640098925533492
2015-06-16	0.004	16.978	8.3119	1.4815348863636362	2.447805754648729	0.6861336845358852	0.7640098925533492
2015-06-17	0.0	16.312	3.7677	1.2254725258799175	1.5726329978375306	0.6861336845358852	0.7640098925533492
2015-06-18	7.392	15.392	2.3204	0.935481843935575	0.8873915623704298	0.6861336845358852	0.7640098925533492
2015-06-19	3.824	15.008	2.273	0.8369207701415171	0.981858089377889	0.6861336845358852	0.7640098925533492
