Date	P	T	Q	Q_predicted_CatBoost	nse_score_Catboost
2060-07-03	0.0	20.28	0.86	0.8066864416172524	0.8515044539707257
2060-07-04	0.0	20.3	0.67	0.9455425865405438	0.8515044539707257
2060-07-05	0.0	20.68	0.59	0.5257014483220048	0.8515044539707257
2060-07-06	0.0	21.95	0.53	0.42571974143266883	0.8515044539707257
2060-07-07	0.0	23.76	0.49	0.41561608733504984	0.8515044539707257
2060-07-08	0.0	25.4	0.44	0.39389247032126085	0.8515044539707257
2060-07-09	0.0	26.01	0.43	0.40970652913965255	0.8515044539707257
2060-07-10	9.13	24.05	0.44	0.40222767677920546	0.8515044539707257
2060-07-11	0.0	23.22	0.8	0.754617154162695	0.8515044539707257
2060-07-12	0.03	25.37	0.45	0.5071948172541572	0.8515044539707257
2060-07-13	2.15	23.12	0.41	0.3943878868767247	0.8515044539707257
2060-07-14	7.53	21.75	0.7	0.4290183689759039	0.8515044539707257
2060-07-15	2.06	20.74	0.46	0.7429667053609041	0.8515044539707257
2060-07-16	1.35	20.95	0.41	0.6085141364135781	0.8515044539707257
2060-07-17	0.06	22.6	0.42	0.3938733683112544	0.8515044539707257
2060-07-18	0.0	24.41	0.32	0.41429025630517613	0.8515044539707257
2060-07-19	0.0	25.52	0.31	0.3987993533378441	0.8515044539707257
2060-07-20	0.0	27.85	0.3	0.39071698171130975	0.8515044539707257
2060-07-21	18.68	25.33	0.56	0.5724950454362461	0.8515044539707257
2060-07-22	0.0	19.21	0.75	1.6099631195815267	0.8515044539707257
2060-07-23	0.0	20.3	0.43	0.6240508848565723	0.8515044539707257
2060-07-24	0.0	23.22	0.35	0.4793461016752946	0.8515044539707257
2060-07-25	0.0	24.93	0.31	0.4910863333174504	0.8515044539707257
2060-07-26	0.89	24.39	0.3	0.3987993533378441	0.8515044539707257
2060-07-27	2.38	22.2	0.46	0.39071698171130975	0.8515044539707257
2060-07-28	0.0	22.84	0.39	0.38984278190140204	0.8515044539707257
2060-07-29	0.0	23.49	0.28	0.4050158665245623	0.8515044539707257
2060-07-30	0.0	23.74	0.28	0.37390024771410396	0.8515044539707257
2060-07-31	0.0	24.03	0.26	0.37390024771410396	0.8515044539707257
2060-08-01	0.0	23.91	0.24	0.37390024771410396	0.8515044539707257
2060-08-02	0.0	23.51	0.22	0.3828616290603847	0.8515044539707257
2060-08-03	0.0	22.64	0.22	0.37390024771410396	0.8515044539707257
